REGION,ISLAND.CODE,TOP_YMAX,BOTTOM_YMIN,LEFT_XMIN,RIGHT_XMAX,INCLUDED.ISLANDS
MARIAN,Agrihan,18.47453047,19.06122164,145.9523805,145.3847193,
MARIAN,Aguijan,14.57924976,15.11709422,145.8300492,145.2762,
MARIAN,Alamagan,17.32812,17.8711183,146.1029194,145.5627,
MARIAN,Anatahan,16.08328,16.620583,145.97027,145.39495,
MARIAN,Arakane,15.38427,15.88667,143.00978,142.50887,
MARIAN,Asuncion,19.42307935,19.95855,145.670403,145.1372368,
PRIAs,Baker,-0.06384229,0.456683,-176.206715,-176.73893,
MARIAN,Farallon_de_Pajaros,20.28460581,20.80405,145.1552,144.6354,
NWHI,French_Frigate,23.37426,24.13381,-165.799151,-166.6047,
NWHI,Gardner,24.74629,25.25101,-167.74803,-168.2598,
MARIAN,Guam,12.97889458,13.90984024,145.2124264,144.3724518,
MARIAN,Guguan,17.04447,17.57325,146.1028129,145.5806799,
MHI,Hawaii,18.66465,20.5212,-154.5542,-156.310932,
PRIAs,Howland,0.53957,1.07447568,-176.359552,-176.87707,
PRIAs,Jarvis,-0.6326069999999999,-0.11118270000000002,-159.7214753,-160.265921,
PRIAs,Johnston,16.41298,17.03817,-169.1231381,-169.817432,
MHI,Kahoolawe,20.25111,20.85883,-156.2807,-156.9606,
MHI,Kauai,21.6189,22.49683668,-159.0321,-160.0442446,
MHI,Kaula,21.402767,21.905167,-160.29365,-160.795217,
PRIAs,Kingman,6.12824,6.70353176,-162.08409,-162.7297,
NWHI,Kure,28.12798333,28.70947,-178.025,-178.6343,
MHI,Lanai,20.48067,21.18291,-156.5513791,-157.3115841,
NWHI,Laysan,25.44591667,26.05244,-171.42638,-172.0216,
MHI,Lehua,21.764533,22.279283,-159.8414,-160.3516,
NWHI,Lisianski,25.63560693,26.46462,-173.26993,-174.3089,
NWHI,Maro,25.06746,25.77452,-170.2046667,-170.9601667,
MARIAN,Maug,19.75856,20.28711505,145.4904,144.9560879,
MHI,Maui,20.32842,21.28291926,-155.724224,-156.9508,
NWHI,Midway,27.93861667,28.53649874,-177.0578137,-177.6808,
MHI,Molokai,20.78225,21.465533,-156.4563,-157.5642284,
MHI,Molokini,20.3803,20.8836,-156.2466,-156.7488,
NWHI,Necker,23.24286667,23.82958333,-164.3919667,-164.9715833,
CT,New_Britain,-5.67684846,-4.84013534,150.6276981,149.8460723,
NWHI,Nihoa,22.8033,23.31271,-161.66402,-162.18,
MHI,Niihau,21.53143,22.27773,-159.7982,-160.502333,
MHI,Oahu,20.99259,21.95447876,-157.398183,-158.543217,
SAMOA,Ofu_&_Olosega,-14.44343488,-13.8984,-169.3526561,-169.9374,
MARIAN,Pagan,17.79265359,18.42066143,146.0659,145.4551747,
PRIAs,Palmyra,5.610761,6.14903,-161.7498,-162.41948,
MARIAN,Pathfinder,16.25265,16.75415,143.39872,142.89548,
NWHI,Pearl_&_Hermes,27.22178,28.21905369,-175.1983,-176.2662,
CT,Philippines,13.408594,13.978054,121.145127,120.621943,
SAMOA,Rose,-14.81062,-14.27811045,-167.8873351,-168.4229,
MARIAN,Rota,13.85888,14.45293,145.543,144.873886,
MARIAN,Saipan,14.84128264,15.54062,146.082176,145.4115057,
MARIAN,Santa_Rosa,12.5613,13.0628,144.67485,144.17387,
MARIAN,Sarigan,16.44038875,16.96876141,146.0406969,145.5160189,
SAMOA,South_Bank,-15.13716,-14.62711,-170.38179,-170.88252,
MARIAN,Stingray,20.24437,20.74438,142.68902,142.18847,
MARIAN,Supply,19.89017,20.39017,145.34835,144.84835,
SAMOA,Swains,-11.31843,-10.79524,-170.8138459,-171.3425737,
SAMOA,Tau,-14.52672,-13.95889,-169.1666,-169.77,
CT,Timor_Leste,-9.56186351,-7.88593094,127.5914184,123.858481,
MARIAN,Tinian,14.675,15.34925484,145.9242344,145.3343,
SAMOA,Tutuila,-14.6231,-13.97547848,-170.25507,-171.09792,
PRIAs,Wake,19.01737797,19.57573345,166.9104718,166.3437,
MARIAN,Zealandia,16.64487,17.14757,146.10292,145.5994,
