PARAMETER.NAME,DOWNLOAD,SENSOR_DATASET,FREQUENCY,URL,DATASET.ID,GRID.VARIABLE,START_DATE,STOP_DATE,TIMESTEPS,BLOCKSIZE,Summaries,MaskForOceanColor
Chlorophyll_A_ESAOCCCI_Clim,YES,ESA OC CCI,Climatology,https://oceanwatch.pifsc.noaa.gov/erddap/,esa-cci-chla-1998-2017-clim,chlor_a,CumMean_1998_2017,CumMean_1998_2017,1,99999999,NA,TRUE
SST_CRW_Clim,YES,Coral Reef Watch,Climatology,https://oceanwatch.pifsc.noaa.gov/erddap/,CRW_sst_v1_0_1985-2018-clim,analysed_sst,CumMean_1985_2018,CumMean_1985_2018,1,99999999,NA,FALSE
Bathymetry_ETOPO1,YES,ETOPO1,Climatology,https://coastwatch.pfeg.noaa.gov/erddap/,etopo360,altitude,Bathy_M,Bathy_M,1,99999999,NA,FALSE
Bathymetry_SRTM15,YES,srtm15plus,Climatology,https://coastwatch.pfeg.noaa.gov/erddap/,srtm15plus,z,Bathy_M,Bathy_M,1,99999999,NA,FALSE
Degree_Heating_Weeks,YES,Coral Reef Watch,Daily,https://oceanwatch.pifsc.noaa.gov/erddap/,CRW_dhw_v1_0,degree_heating_week,3/25/1985,12/31/2019,12697,10000,DHW.Np10y;DHW.Np10y_Major;DHW.MeanMax;DHW.MeanMax_Major;DHW.CI95Max;DHW.CI95Max_Major;DHW.MeanDur;DHW.MeanDur_Major;DHW.MaxMax;DHW.MaxMax_Major,FALSE
SST_CRW_Daily,YES,Coral Reef Watch,Daily,https://oceanwatch.pifsc.noaa.gov/erddap/,CRW_sst_v1_0,analysed_sst,1/1/1985,12/31/2019,12783,10000,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range;mean_weekly_range,FALSE
Chlorophyll_A_ESAOCCCI_8Day,YES,ESA OC CCI,8day,https://oceanwatch.pifsc.noaa.gov/erddap/,esa-cci-chla-8d-v5-0,chlor_a,9/4/1997,10/28/2018,965,10000,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,TRUE
Kd490_ESAOCCCI_8Day,YES,ESA OC CCI,8day,https://oceanwatch.pifsc.noaa.gov/erddap/,esa-cci-kd-8d-v5-0,kd_490,9/4/1997,12/31/2019,1019,10000,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,TRUE
PAR_MODIS_Daily,YES,MODIS Aqua,Daily,https://oceanwatch.pifsc.noaa.gov/erddap/,aqua_par_1d_2018_0,par,7/4/2002,12/31/2019,6382,10000,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range;mean_weekly_range,TRUE
Bathymetry_GEBCO2014,NO,GEBCO2014,Climatology,http://erddap.axiomdatascience.com/erddap/,GEBCO2014,elevation,Bathy_M,Bathy_M,1,99999999,NA,FALSE
kdPAR_VIIRS_Weekly,YES,NOAA VIIRS,Weekly,https://coastwatch.pfeg.noaa.gov/erddap/,nesdisVHNSQkdparWeekly,kd_par,1/2/2012,12/31/2019,417,10000,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,TRUE
PAR_VIIRS_Weekly,NO,NOAA VIIRS,Weekly,https://coastwatch.pfeg.noaa.gov/erddap/,erdVH2018par8day,par ,1/5/2012,12/31/2019,412,10000,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,TRUE
