Island,Sp_Common_Name,Date_Caught,Lon,Lat
Hawaii,Green jack,10/8/2000,205.2,20.1
Hawaii,Green jack,10/8/2000,204.7,18.8
Hawaii,Green jack,10/8/2000,205.2,19.2
Hawaii,Green jack,10/8/2000,205,19.3
Hawaii,Green jack,10/8/2000,204.9,20.1
Hawaii,Green jack,10/8/2000,205.3,18.7
Hawaii,Green jack,10/8/2000,205.3,18.8
Hawaii,Green jack,10/8/2000,205.4,19.4
Hawaii,Green jack,10/8/2000,204.8,20.5
Hawaii,Green jack,10/8/2000,205.4,20.2
Hawaii,Green jack,10/8/2000,204.9,20.5
Hawaii,Green jack,10/8/2000,204.9,19.3
Hawaii,Green jack,10/8/2000,205.2,19
Hawaii,Green jack,10/8/2000,205,20.1
Hawaii,Green jack,10/8/2000,204.9,18.8
Hawaii,Green jack,10/8/2000,205.4,19.5
Hawaii,Green jack,10/8/2000,205.4,19.8
Hawaii,Green jack,10/8/2000,205.1,19.9
Hawaii,Green jack,10/8/2000,205.4,19.3
Hawaii,Green jack,10/8/2000,205.1,19.1
Hawaii,Green jack,10/8/2000,205.4,20.1
Hawaii,Green jack,10/8/2000,205,19.2
Hawaii,Green jack,10/8/2000,205.1,20.3
Hawaii,Green jack,10/8/2000,205.2,20.2
Hawaii,Green jack,10/8/2000,204.7,19.1
Hawaii,Green jack,10/8/2000,205.1,19.2
Hawaii,Green jack,10/8/2000,204.8,20.2
Hawaii,Green jack,10/8/2000,205.3,19.3
Hawaii,Green jack,10/8/2000,205.2,19.3
Hawaii,Green jack,10/8/2000,205.2,19.1
Hawaii,Green jack,10/8/2000,204.8,19.2
Hawaii,Green jack,10/8/2000,205.2,20.3
Hawaii,Green jack,10/8/2000,205.4,20
Hawaii,Green jack,10/8/2000,205.4,18.7
Hawaii,Green jack,10/8/2000,205.4,18.9
Hawaii,Green jack,10/8/2000,204.9,19.2
Hawaii,Green jack,10/8/2000,205.3,20.1
Hawaii,Green jack,10/8/2000,205.3,19.4
Hawaii,Green jack,10/8/2000,205.2,18.8
Hawaii,Green jack,10/8/2000,205.3,20.2
Hawaii,Green jack,10/8/2000,204.7,20.4
Hawaii,Green jack,10/8/2000,205.3,19.1
Hawaii,Green jack,10/8/2000,204.9,18.7
Hawaii,Green jack,10/8/2000,205.3,19.5
Hawaii,Green jack,10/8/2000,205,19.8
Hawaii,Green jack,10/8/2000,205,20.3
Hawaii,Green jack,10/8/2000,205.1,18.8
Hawaii,Green jack,10/8/2000,205.3,20.3
Hawaii,Green jack,10/8/2000,204.8,19.1
Hawaii,Green jack,10/8/2000,205.1,19
Hawaii,Green jack,10/8/2000,204.8,19
