lon,lat,date,site,island,region,unit,Bathymetry_ETOPO_2022_v1_15s,Chlorophyll_A_ESA_OC_CCI_v6.0_Clim,Sea_Surface_Temperature_NOAA_geopolar_blended_Clim
204.9104,19.808717,2/27/2005,HAW-00001,Hawaii,MHI,Hawaii,-9.548664093017578,0.21274273097515106,298.42437744140625
204.9172,19.8423,2/27/2005,HAW-00002,Hawaii,MHI,Hawaii,-15.506414413452148,0.18636025488376617,298.42437744140625
204.9132,19.8639,2/27/2005,HAW-00003,Hawaii,MHI,Hawaii,-47.280765533447266,0.24758586287498474,298.4327087402344
204.1053,20.2401,2/28/2005,HAW-00004,Hawaii,MHI,Hawaii,NA,NA,298.688720703125
204.0961,20.212,2/28/2005,HAW-00005,Hawaii,MHI,Hawaii,NA,NA,298.74029541015625
204.0964,20.1915,2/28/2005,HAW-00006,Hawaii,MHI,Hawaii,NA,NA,298.7818908691406
205.1822,19.4856,3/1/2005,HAW-00007,Hawaii,MHI,Hawaii,-7.738826274871826,0.18687623739242554,298.4889831542969
205.1194,19.424,3/1/2005,HAW-00008,Hawaii,MHI,Hawaii,-41.91630554199219,0.15106560289859772,298.4954528808594
205.0726,19.394,3/1/2005,HAW-00009,Hawaii,MHI,Hawaii,-15.372644424438477,0.21944095194339752,298.50994873046875
204.803,19.2533,3/2/2005,HAW-00010,Hawaii,MHI,Hawaii,-73.198516845703125,0.21677391231060028,NA
204.7446,19.2672,3/2/2005,HAW-00011,Hawaii,MHI,Hawaii,-10.940715789794922,0.22295494377613068,NA
204.3818,18.965417,3/3/2005,HAW-00012,Hawaii,MHI,Hawaii,-12.795536041259766,0.3551022410392761,298.61883544921875
204.315517,18.922033,3/3/2005,HAW-00013,Hawaii,MHI,Hawaii,-59.94145965576172,0.18465137481689453,298.67218017578125
204.3116,18.939,3/3/2005,HAW-00014,Hawaii,MHI,Hawaii,-31.174205780029297,0.18465137481689453,298.67218017578125
204.5348,19.1432,3/4/2005,HAW-00015,Hawaii,MHI,Hawaii,-10.705243110656738,0.2006567418575287,298.5544738769531
204.499,19.1339,3/4/2005,HAW-00016,Hawaii,MHI,Hawaii,NA,NA,298.5534973144531
204.4475,19.0755,3/4/2005,HAW-00017,Hawaii,MHI,Hawaii,-19.475873947143555,0.1988021284341812,NA
205.1492,19.5475,3/5/2005,HAW-00018,Hawaii,MHI,Hawaii,-43.99850082397461,0.16575987637043,298.46551513671875
205.0269,19.6629,3/5/2005,HAW-00019,Hawaii,MHI,Hawaii,-16.15730094909668,0.23780131340026855,298.42950439453125
204.296617,20.192383,8/2/2006,HAW-00020,Hawaii,MHI,Hawaii,-16.959936141967773,0.21592466533184052,298.5437927246094
204.2234,20.2472,8/2/2006,HAW-00021,Hawaii,MHI,Hawaii,-19.472150802612305,0.4119970202445984,298.5863037109375
204.152035,20.267028,8/2/2006,HAW-00032,Hawaii,MHI,Hawaii,-18.77833366394043,0.18956801295280457,298.6318054199219
204.26915,18.968567,8/3/2006,HAW-00022,Hawaii,MHI,Hawaii,-23.1511287689209,NA,298.6993713378906
204.2037,19.006233,8/3/2006,HAW-00023,Hawaii,MHI,Hawaii,-91.36685943603516,0.14571543037891388,NA
204.1174,19.0383,8/3/2006,HAW-00024,Hawaii,MHI,Hawaii,-2.9699392318725586,0.09472674131393433,298.9386901855469
205.0157,19.7077,8/15/2006,HAW-00025,Hawaii,MHI,Hawaii,-2.7010998725891113,0.19255618751049042,298.43353271484375
204.9696,19.7415,8/15/2006,HAW-00026,Hawaii,MHI,Hawaii,-6.309300422668457,0.3731176555156708,298.4194030761719
204.3818,18.965417,8/16/2006,HAW-00012,Hawaii,MHI,Hawaii,-12.795536041259766,0.3551022410392761,298.61883544921875
204.5348,19.1432,8/16/2006,HAW-00015,Hawaii,MHI,Hawaii,-10.705243110656738,0.2006567418575287,298.5544738769531
204.499,19.1339,8/16/2006,HAW-00016,Hawaii,MHI,Hawaii,NA,NA,298.5534973144531
205.1194,19.424,8/17/2006,HAW-00008,Hawaii,MHI,Hawaii,-41.91630554199219,0.15106560289859772,298.4954528808594
204.9901,19.3326,8/17/2006,HAW-00027,Hawaii,MHI,Hawaii,-79.57756042480469,0.12608197331428528,298.53564453125
204.916,19.2996,8/17/2006,HAW-00028,Hawaii,MHI,Hawaii,-39.601905822753906,0.6179817318916321,298.54742431640625
204.7506,19.999,8/18/2006,HAW-00029,Hawaii,MHI,Hawaii,-16.943359375,0.20717576146125793,298.433349609375
204.6339,20.0582,8/18/2006,HAW-00030,Hawaii,MHI,Hawaii,-2.8949503898620605,0.1782272458076477,298.45306396484375
204.5537,20.0951,8/18/2006,HAW-00031,Hawaii,MHI,Hawaii,NA,0.16383889317512512,298.4534606933594
204.296617,20.192383,10/26/2008,HAW-00020,Hawaii,MHI,Hawaii,-16.959936141967773,0.21592466533184052,298.5437927246094
204.2234,20.2472,10/26/2008,HAW-00021,Hawaii,MHI,Hawaii,-19.472150802612305,0.4119970202445984,298.5863037109375
204.152035,20.267028,10/26/2008,HAW-00032,Hawaii,MHI,Hawaii,-18.77833366394043,0.18956801295280457,298.6318054199219
204.143583,20.2712,10/26/2008,HAW-00050,Hawaii,MHI,Hawaii,-32.024818420410156,0.18956801295280457,298.6719970703125
204.174133,20.260833,10/26/2008,HAW-00051,Hawaii,MHI,Hawaii,NA,0.17766864597797394,298.6318054199219
204.267133,20.2195,10/26/2008,HAW-00052,Hawaii,MHI,Hawaii,NA,0.16818539798259735,298.5566101074219
204.289867,20.1998,10/26/2008,HAW-00053,Hawaii,MHI,Hawaii,-19.383594512939453,0.5102872252464294,298.5437927246094
204.323783,20.176517,10/26/2008,HAW-00054,Hawaii,MHI,Hawaii,NA,0.21592466533184052,298.5224609375
204.7506,19.999,10/27/2008,HAW-00029,Hawaii,MHI,Hawaii,-16.943359375,0.20717576146125793,298.433349609375
204.6339,20.0582,10/27/2008,HAW-00030,Hawaii,MHI,Hawaii,-2.8949503898620605,0.1782272458076477,298.45306396484375
204.5537,20.0951,10/27/2008,HAW-00031,Hawaii,MHI,Hawaii,NA,0.16383889317512512,298.4534606933594
204.722983,20.019133,10/27/2008,HAW-00055,Hawaii,MHI,Hawaii,-14.166207313537598,0.18190902471542358,298.44134521484375
204.681983,20.0329,10/27/2008,HAW-00056,Hawaii,MHI,Hawaii,NA,0.2576278746128082,298.43865966796875
204.6033,20.070033,10/27/2008,HAW-00057,Hawaii,MHI,Hawaii,NA,0.2198900282382965,298.45306396484375
204.560783,20.09175,10/27/2008,HAW-00058,Hawaii,MHI,Hawaii,-22.478267669677734,0.16383889317512512,298.4534606933594
204.534083,20.1031,10/27/2008,HAW-00059,Hawaii,MHI,Hawaii,-15.26999282836914,0.22056953608989716,298.4703369140625
204.524683,20.10425,10/27/2008,HAW-00060,Hawaii,MHI,Hawaii,-26.649057388305664,0.22056953608989716,298.4703369140625
204.9104,19.808717,10/28/2008,HAW-00001,Hawaii,MHI,Hawaii,-9.548664093017578,0.21274273097515106,298.42437744140625
205.0157,19.7077,10/28/2008,HAW-00025,Hawaii,MHI,Hawaii,-2.7010998725891113,0.19255618751049042,298.43353271484375
204.9696,19.7415,10/28/2008,HAW-00026,Hawaii,MHI,Hawaii,-6.309300422668457,0.3731176555156708,298.4194030761719
205.022433,19.682383,10/28/2008,HAW-00061,Hawaii,MHI,Hawaii,-32.053218841552734,0.19255618751049042,298.42950439453125
205.00015,19.731783,10/28/2008,HAW-00062,Hawaii,MHI,Hawaii,-25.517993927001953,0.17856676876544952,298.43353271484375
204.91075,19.78915,10/28/2008,HAW-00063,Hawaii,MHI,Hawaii,NA,0.7053959965705872,298.4162902832031
204.917,19.82525,10/28/2008,HAW-00064,Hawaii,MHI,Hawaii,-28.236207962036133,0.1778438687324524,298.42437744140625
204.981117,19.733983,10/28/2008,HAW-00065,Hawaii,MHI,Hawaii,-15.680143356323242,0.3731176555156708,298.4194030761719
