year,month,sector,day,species,island,sst,catch,mean,q10,q90,abnormal
1991,02,W,14,Black Marlin,Hawaii,25.090286508275753,1,24.77625,24.416324400417103,24.84428151549943,Yes
1992,02,W,14,Black Marlin,Hawaii,25.131506821918673,1,24.039166666666667,23.77254209378408,24.041389269406395,Yes
1992,05,W,19,Black Marlin,Hawaii,24.614577678053934,1,25.604583333333334,25.25923446019629,25.60647699004975,Yes
1993,06,W,13,Black Marlin,Hawaii,24.63525696417974,1,25.51111111111111,25.152822464558344,25.50170319634703,Yes
1993,08,NW,16,Black Marlin,Hawaii,25.77902558851953,1,26.49972602739726,26.41738909487459,26.61973797678275,Yes
1994,07,W,19,Black marlin,Hawaii,25.177110334065457,1,25.99701388888889,25.565405779716464,25.93767133084577,Yes
1994,07,W,19,Black Marlin,Hawaii,25.177110334065457,1,25.99701388888889,25.565405779716464,25.93767133084577,Yes
1994,08,W,27,Black marlin,Hawaii,25.990382123263025,1,26.927152777777778,26.456995747001095,26.897501997716894,Yes
1995,09,W,25,Black marlin,Hawaii,26.50405663270002,1,26.87034722222222,26.576919629225735,26.8462274543379,Yes
1996,12,W,01,Black Marlin,Hawaii,26.82897422247695,1,25.121458333333333,24.789323118865866,25.12299343607306,Yes
1996,12,W,01,Giant squid,Hawaii,26.82897422247695,1,25.121458333333333,24.789323118865866,25.12299343607306,Yes
1997,02,W,21,Black Marlin,Hawaii,25.06138060567904,1,24.787152777777777,24.506988113413307,24.773004042288555,Yes
1998,08,W,16,Black Marlin,Hawaii,25.025559650090237,1,26.113819444444445,25.89875912408759,26.127740775290217,Yes
1998,10,W,16,Black Marlin,Hawaii,26.144257799477604,1,26.30125,25.88367044711014,26.306176369863014,No
1999,03,SE,04,Frogfish,Hawaii,24.082553921415915,1,23.78123076923077,23.68361930207197,23.872282027363184,Yes
2000,10,E,08,Green jack,Hawaii,26.02793750444612,1,26.053206106870228,26.006858560523444,26.383710820895523,No
2002,05,E,19,Green jack,Hawaii,24.20804812890512,1,25.00351145038168,24.929877685088634,25.375056799336647,Yes
2002,08,W,16,Black Marlin,Hawaii,26.138757071123255,1,26.749305555555555,26.428097382769902,26.71277796803653,Yes
2002,09,NW,01,Finescale triggerfish,Hawaii,26.292158155803673,1,26.706164383561642,26.40282050163577,26.694897926179603,Yes
2002,10,W,01,Black Marlin,Hawaii,26.542749613005284,1,26.651944444444446,26.30579171210469,26.661167081260366,No
2003,09,W,11,Black Marlin,Hawaii,26.285595715106346,1,26.795972222222222,26.576579565472695,26.78853139269406,Yes
2006,04,N,23,Bluestriped chub,Hawaii,24.16949941527344,1,24.174014598540147,24.039075899672845,24.369820895522388,No
2007,04,W,10,Tripletail,Hawaii,24.50723148851599,1,24.68145833333333,24.34887579062159,24.661318097014927,No
2007,10,W,16,Tripletail,Hawaii,26.375980412899633,1,26.399166666666666,26.12924685848503,26.401430365296804,No
2008,09,W,05,Black marlin,Hawaii,25.773249802143255,1,26.146527777777777,26.005079624192604,26.155500951293757,Yes
2008,10,E,11,Bluestriped chub,Hawaii,25.89690662979262,1,25.875038167938932,25.867480563711098,26.11760873287671,No
2009,01,W,15,Tripletail,Hawaii,25.4834251912249,1,24.70347222222222,24.03185714285714,24.70354014459665,Yes
2009,04,S,19,Whitemargin unicornfish,Hawaii,23.496476128303186,1,23.642537313432836,23.477744734098017,23.60845350172216,No
2009,10,W,01,Black marlin,Hawaii,26.407664622061432,1,26.615,26.451854089422028,26.614529850746266,Yes
2010,10,E,16,Sidespot goatfish,Hawaii,25.62241728757798,1,25.921297709923664,25.915877627715794,26.147095985540332,Yes
2011,01,W,20,Shadowfin soldierfish,Hawaii,25.549970804840964,1,24.916875,24.65081232279171,24.920633395522387,Yes
2011,02,W,14,Oriental bonito,Hawaii,25.217440345468578,1,24.850555555555555,24.663922573609597,24.837890547263683,Yes
2011,03,W,10,Black Marlin,Hawaii,25.000392782246625,1,24.819583333333334,24.508336314067613,24.822954601990048,Yes
2011,04,W,29,Shadowfin soldierfish,Hawaii,24.82064253937199,1,24.805972222222223,24.478772082878955,24.778202625570778,Yes
2012,05,W,02,Black Marlin,Hawaii,24.054011589425812,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,05,Black Marlin,Hawaii,24.05464613942375,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,06,Black Marlin,Hawaii,24.056780787982902,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,07,Black Marlin,Hawaii,24.058265243301616,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,10,Black Marlin,Hawaii,24.060474795337775,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,11,Black Marlin,Hawaii,24.06375042955313,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,12,Black Marlin,Hawaii,24.066225333158037,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,13,Black Marlin,Hawaii,24.071033130900435,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,17,Black Marlin,Hawaii,24.09055433070683,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,19,Black Marlin,Hawaii,24.100061883498817,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,20,Black Marlin,Hawaii,24.107429135026987,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,22,Black Marlin,Hawaii,24.12517348311798,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,23,Black Marlin,Hawaii,24.12842128934916,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,24,Black Marlin,Hawaii,24.132566416314702,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,25,Black Marlin,Hawaii,24.138399749796758,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,26,Black Marlin,Hawaii,24.144983520637943,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,27,Black Marlin,Hawaii,24.151167829468932,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,28,Black Marlin,Hawaii,24.157175626215647,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,29,Black Marlin,Hawaii,24.16332382335068,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,05,W,31,Black Marlin,Hawaii,24.17266095786996,1,24.510625,24.27683570170288,24.518410102739725,Yes
2012,06,W,01,Black Marlin,Hawaii,24.176204281661942,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
2012,06,W,03,Black Marlin,Hawaii,24.182338202738624,1,24.67597222222222,24.352926482677628,24.61559988584475,Yes
